,Review,Label,Review_Clean,absa,polarity
0,Japanese style Italian restaurant. Ikura Pasta and Four Cheese Pizza were exceptional.,POSITIVE,japanese style italian restaurant. ikura pasta and four cheese pizza were exceptional.,"[['style', ['restaurant']], ['restaurant', ['japanese', 'style', 'italian']], ['pizza', ['cheese']], ['exceptional', ['ikurapasta']]]","[['style', 'NEUTRAL'], ['restaurant', 'POSITIVE'], ['pizza', 'NEUTRAL'], ['exceptional', 'NEUTRAL']]"
1,Definately visit this love'd their masala dosa,POSITIVE,definately visit this love'd their masala dosa,"[['visit', ['definately', 'love']], ['love', ['visit']], ['masaladosa', [""'d""]]]","[['visit', 'POSITIVE'], ['love', 'NEGATIVE'], ['masaladosa', 'NEUTRAL']]"
2,"I had a great experience at Meadesmoore! We ordered the ox tongue, a steak (which came with the ribeye primary cut, and the oyster and flank secondary cuts), the tomato salad, and lastly the Stilton cheesecake for desert. And can I say, all …",POSITIVE,"i had a great experience at meadesmoore! we ordered the ox tongue, a steak (which came with the ribeye primary cut, and the oyster and flank secondary cuts), the tomato salad, and lastly the stilton cheesecake for desert. and can i say, all  ","[['experience', ['great', 'had']], ['meadesmoore', []], ['oxtongue', ['ordered']], ['steak', ['came']], ['cut', ['ribeye', 'primary']], ['desert', []], ['say', ['i']]]","[['experience', 'POSITIVE'], ['oxtongue', 'POSITIVE'], ['steak', 'POSITIVE'], ['cut', 'POSITIVE'], ['say', 'NEGATIVE']]"
3,"Food was good! Service level was slightly below expectation, not sure if it was because it was full house? It was quite difficult to get the attention of the staff when we want to order as well as asking for the bill. The food and ambience made up for it on the whole.",POSITIVE,"food was good! service level was slightly below expectation, not sure if it was because it was full house? it was quite difficult to get the attention of the staff when we want to order as well as asking for the bill. the food and ambience made up for it on the whole.","[['food', ['good']], ['good', ['food']], ['servicelevel', ['expectation']], ['expectation', ['servicelevel', 'slightly']], ['house', ['it', 'it', 'full']], ['attention', ['get']], ['staff', []], ['order', ['want']], ['bill', []], ['food', ['made']], ['ambience', []]]","[['food', 'POSITIVE'], ['good', 'NEGATIVE'], ['servicelevel', 'POSITIVE'], ['expectation', 'POSITIVE'], ['house', 'POSITIVE'], ['attention', 'POSITIVE'], ['order', 'NEUTRAL'], ['food', 'POSITIVE']]"
4,"Food, presentation and service were all top notch. Also a solid bread program, which isn’t a given in Singapore. The meal was fairly sauce forward and every dish was beautifully plated. The Hamachi and Crayfish didn’t wow me but execution …",POSITIVE,"food, presentation and service were all top notch. also a solid bread program, which isn t a given in singapore. the meal was fairly sauce forward and every dish was beautifully plated. the hamachi and crayfish didn t wow me but execution  ",[],[]
5,Yummy Indian vegetarian food,POSITIVE,yummy indian vegetarian food,"[['yummy', ['food']], ['food', ['yummy', 'indian', 'vegetarian']]]","[['yummy', 'NEGATIVE'], ['food', 'POSITIVE']]"
6,Very good service from the people here esp Jason! :),POSITIVE,very good service from the people here esp jason! :),"[['service', ['good']], ['jason', ['esp']]]","[['service', 'POSITIVE'], ['jason', 'NEGATIVE']]"
7,"Visited Whitegrass on 7 June 2023.

The ambience was great; however, as the crowd started entering, the dining area …",POSITIVE,"visited whitegrass on 7 june 2023.

the ambience was great; however, as the crowd started entering, the dining area  ","[['whitegrass', ['visited']], ['june', []], ['ambience', []], ['area', []]]","[['whitegrass', 'NEGATIVE']]"
8,"Wonderful experience for a special occasion!
Highly recommend vegetarian selection, whether you are veg or not. Notable wine pairings - well done!",POSITIVE,"wonderful experience for a special occasion!
highly recommend vegetarian selection, whether you are veg or not. notable wine pairings - well done!","[['experience', ['wonderful']], ['occasion', ['special']], ['selection', ['vegetarian', 'recommend', 'veg']], ['veg', ['you', 'selection']], ['wine', ['pairings']]]","[['experience', 'POSITIVE'], ['occasion', 'POSITIVE'], ['selection', 'NEGATIVE'], ['veg', 'NEUTRAL'], ['wine', 'NEUTRAL']]"
9,"Continuing my culinary journey to celebrate human excellence . This time to 2**Michelin .. Shoukowa. Thoroughly enjoy from start to finish. Something interesting in the  menu that the price scales up by adding more appetizer not the sushi. By all means, they deserve 2 stars",POSITIVE,"continuing my culinary journey to celebrate human excellence . this time to 2**michelin .. shoukowa. thoroughly enjoy from start to finish. something interesting in the  menu that the price scales up by adding more appetizer not the sushi. by all means, they deserve 2 stars","[['journey', ['culinary', 'continuing']], ['celebrate', ['excellence']], ['excellence', ['human', 'celebrate']], ['time', []], ['*', []], ['michelin', []], ['shoukowa', []], ['finish', []], ['something', ['interesting']], ['price', ['scales']], ['appetizer', ['more', 'adding']], ['sushi', ['not']]]","[['journey', 'NEUTRAL'], ['celebrate', 'POSITIVE'], ['excellence', 'POSITIVE'], ['something', 'POSITIVE'], ['price', 'NEGATIVE'], ['appetizer', 'POSITIVE'], ['sushi', 'NEGATIVE']]"
