,Name,Link,size
0,Alati Divine Greek Cuisine,https://www.google.com/maps/place/Alati+Divine+Greek+Cuisine/data=!4m7!3m6!1s0x31da190d6598499f:0x32e35aeca0406ca2!8m2!3d1.2803412!4d103.8467476!16s%2Fg%2F11c89kdzb8!19sChIJn0mYZQ0Z2jERomxAoOxa4zI?authuser=0&hl=en&rclk=1,16
1,Alma by Juan Amador,https://www.google.com/maps/place/Alma+by+Juan+Amador/data=!4m7!3m6!1s0x31da19ed46ce27b5:0x6356a1b47dff3b69!8m2!3d1.308128!4d103.8341296!16s%2Fg%2F11bxbbyg_2!19sChIJtSfORu0Z2jERaTv_fbShVmM?authuser=0&hl=en&rclk=1,8
2,Altro Zafferano,https://www.google.com/maps/place/Altro+Zafferano/data=!4m7!3m6!1s0x31da190eef383bf1:0x1ce282e9610708df!8m2!3d1.2832397!4d103.8520217!16s%2Fg%2F11r8xh5dr!19sChIJ8Ts47w4Z2jER3wgHYemC4hw?authuser=0&hl=en&rclk=1,24
3,Art di Daniele Sperindio,https://www.google.com/maps/place/Art+di+Daniele+Sperindio/data=!4m7!3m6!1s0x31da1909557f349b:0x4c9b3a50ce12bf61!8m2!3d1.2907066!4d103.8519791!16s%2Fg%2F11b80bl7jj!19sChIJmzR_VQkZ2jERYb8SzlA6m0w?authuser=0&hl=en&rclk=1,13
4,Artemis Grill & Sky Bar,https://www.google.com/maps/place/Artemis+Grill+%26+Sky+Bar/data=!4m7!3m6!1s0x31da190dd367faab:0xa02fd48acee1d427!8m2!3d1.2818026!4d103.8501248!16s%2Fg%2F11bwl3rp1_!19sChIJq_pn0w0Z2jERJ9ThzorUL6A?authuser=0&hl=en&rclk=1,24
5,Ayasofya Turkish Restaurant,https://www.google.com/maps/place/Ayasofya+Turkish+Restaurant/data=!4m7!3m6!1s0x31da192f73b5b92f:0xe4ce11d6aca8d61e!8m2!3d1.3018398!4d103.8593332!16s%2Fg%2F11qqyh5xjs!19sChIJL7m1cy8Z2jERHtaorNYRzuQ?authuser=0&hl=en&rclk=1,4
6,BAKALAKI Greek Taverna,https://www.google.com/maps/place/BAKALAKI+Greek+Taverna/data=!4m7!3m6!1s0x31da197742ba1a45:0x63cef72f7f19cb61!8m2!3d1.2921214!4d103.8380038!16s%2Fg%2F11df6vtnfs!19sChIJRRq6QncZ2jERYcsZfy_3zmM?authuser=0&hl=en&rclk=1,17
7,Bar-A-Thym Restaurant by Francois Mermilliod,https://www.google.com/maps/place/Bar-A-Thym+Restaurant+by+Francois+Mermilliod/data=!4m7!3m6!1s0x31da190cfc6df2a5:0xe5e30b535874ebee!8m2!3d1.2822684!4d103.8471694!16s%2Fg%2F11cm0pcx8p!19sChIJpfJt_AwZ2jER7ut0WFML4-U?authuser=0&hl=en&rclk=1,18
8,Bar-Roque Grill,https://www.google.com/maps/place/Bar-Roque+Grill/data=!4m7!3m6!1s0x31da196b5f0e9a29:0xca0b5215c859a84!8m2!3d1.275521!4d103.8436042!16s%2Fg%2F11bbwqg2rn!19sChIJKZoOX2sZ2jERhJqFXCG1oAw?authuser=0&hl=en&rclk=1,7
9,Baristart Coffee Singapore (Wisma Atria),https://www.google.com/maps/place/Baristart+Coffee+Singapore+%28Wisma+Atria%29/data=!4m7!3m6!1s0x31da3d4f34737799:0xd9a25ce9fa28f64d!8m2!3d1.303704!4d103.8333035!16s%2Fg%2F11j6t90243!19sChIJmXdzNE892jERTfYo-ulcotk?authuser=0&hl=en&rclk=1,20
